feature,importance,rank
V175,80.94744873046875,279
M8,80.74612426757812,280
V246,80.3283920288086,281
dist2,79.9189682006836,282
id_19,78.33039093017578,283
id_25,77.15786743164062,284
V253,76.7914810180664,285
V173,76.57670593261719,286
id_05,76.22071838378906,287
V232,76.09918212890625,288
V150,75.21873474121094,289
D14,75.00642395019531,290
V34,74.95361328125,291
payer_txn_sum_1h,74.2787857055664,292
V221,73.26679229736328,293
V334,73.23049926757812,294
V337,72.4197006225586,295
V226,70.5575180053711,296
V322,70.38038635253906,297
V336,70.1524887084961,298
id_11,69.8487777709961,299
V69,69.77568817138672,300
V287,69.2630615234375,301
V256,68.091064453125,302
V3,67.7052001953125,303
V277,66.12445068359375,304
V215,66.10902404785156,305
V59,65.87457275390625,306
V301,65.49614715576172,307
V161,65.22538757324219,308
V304,63.33869934082031,309
V279,62.31306838989258,310
V284,62.268211364746094,311
V302,62.2020378112793,312
V247,60.96955490112305,313
V251,60.313575744628906,314
V290,60.08203125,315
V169,59.97084426879883,316
V208,59.413963317871094,317
V245,58.747989654541016,318
V209,57.97161102294922,319
V264,57.606346130371094,320
V248,56.22578430175781,321
V158,56.13310241699219,322
V270,55.968299865722656,323
V236,54.14482498168945,324
V132,52.55074691772461,325
V174,51.830955505371094,326
V101,51.143306732177734,327
V193,50.732208251953125,328
V8,50.058631896972656,329
V260,49.27043151855469,330
id_15,48.719970703125,331
V203,48.494239807128906,332
V213,46.78339385986328,333
V123,46.00851058959961,334
V46,45.772186279296875,335
V103,45.55584716796875,336
V188,45.039024353027344,337
V321,43.28350830078125,338
V295,42.28152084350586,339
V140,42.20270538330078,340
V297,42.02363967895508,341
V244,41.898658752441406,342
V216,40.71400451660156,343
V231,39.5787353515625,344
V329,38.75601577758789,345
V259,37.810829162597656,346
V242,37.14299774169922,347
V211,36.15440368652344,348
V273,35.43653869628906,349
V192,35.00199508666992,350
V230,34.803401947021484,351
V265,33.27593994140625,352
V223,33.104774475097656,353
V147,33.08189010620117,354
V153,30.158367156982422,355
V229,29.71022605895996,356
V194,28.866363525390625,357
V275,28.806861877441406,358
V212,28.713712692260742,359
V327,27.59613037109375,360
V228,26.739337921142578,361
V195,26.3515625,362
V18,23.575546264648438,363
V148,23.16573715209961,364
V298,23.012359619140625,365
payer_txn_count_5min,21.870750427246094,366
V249,20.603530883789062,367
V113,20.27764129638672,368
V114,19.854583740234375,369
V168,19.47260093688965,370
V180,19.346988677978516,371
V331,19.244199752807617,372
V100,17.50372886657715,373
V202,17.47156524658203,374
V42,16.722925186157227,375
V108,16.436752319335938,376
V186,15.811906814575195,377
V154,15.016969680786133,378
V214,14.386589050292969,379
V325,14.3543701171875,380
V146,14.306816101074219,381
V191,13.636329650878906,382
V328,13.329825401306152,383
V80,13.18493938446045,384
V233,12.69293212890625,385
V218,11.577376365661621,386
V274,11.309382438659668,387
V254,10.435752868652344,388
V250,10.11152172088623,389
V330,9.831512451171875,390
V238,3.796290397644043,391
V95,3.4595627784729004,392
V303,3.4486236572265625,393
V257,0.0,394
V241,0.0,395
V240,0.0,396
V237,0.0,397
V235,0.0,398
V185,0.0,399
V183,0.0,400
V196,0.0,401
V252,0.0,402
id-25,0.0,403
id-24,0.0,404
id-23,0.0,405
id-22,0.0,406
id-21,0.0,407
id-26,0.0,408
id-28,0.0,409
id-27,0.0,410
id-33,0.0,411
id-32,0.0,412
id-31,0.0,413
id-30,0.0,414
id-29,0.0,415
id-36,0.0,416
id-34,0.0,417
id-35,0.0,418
V167,0.0,419
V269,0.0,420
V190,0.0,421
V88,0.0,422
V92,0.0,423
V93,0.0,424
V112,0.0,425
V116,0.0,426
V111,0.0,427
V110,0.0,428
V107,0.0,429
V182,0.0,430
V179,0.0,431
V305,0.0,432
V120,0.0,433
V119,0.0,434
V142,0.0,435
V138,0.0,436
V181,0.0,437
V89,0.0,438
V117,0.0,439
V118,0.0,440
V72,0.0,441
V65,0.0,442
V17,0.0,443
V14,0.0,444
V31,0.0,445
V32,0.0,446
V41,0.0,447
id_22,0.0,448
V27,0.0,449
V28,0.0,450
M1,0.0,451
id_12,0.0,452
id_24,0.0,453
id_26,0.0,454
V1,0.0,455
id_16,0.0,456
id_23,0.0,457
id_27,0.0,458
id_28,0.0,459
id_29,0.0,460
id-01,0.0,461
id-02,0.0,462
id-03,0.0,463
id-04,0.0,464
id-05,0.0,465
id-06,0.0,466
id-07,0.0,467
id-08,0.0,468
id-09,0.0,469
id-10,0.0,470
id-11,0.0,471
id-12,0.0,472
id-13,0.0,473
id-14,0.0,474
id-15,0.0,475
id-16,0.0,476
id-17,0.0,477
id-18,0.0,478
id-19,0.0,479
id-20,0.0,480
id-37,0.0,481
id-38,0.0,482
